Date,Value,year,month
192506,68.7,1925,6
192507,76.3,1925,7
192508,71.6,1925,8
192509,63.9,1925,9
192510,56.8,1925,10
192511,48.0,1925,11
192512,44.9,1925,12
192601,41.7,1926,1
192602,47.4,1926,2
192603,53.6,1926,3
192604,57.8,1926,4
192605,62.4,1926,5
192606,72.4,1926,6
192607,75.6,1926,7
192608,73.5,1926,8
192609,65.4,1926,9
192610,60.6,1926,10
192611,53.5,1926,11
192612,41.6,1926,12
192701,43.5,1927,1
192702,45.8,1927,2
192703,47.7,1927,3
192704,53.0,1927,4
192705,59.9,1927,5
192706,68.0,1927,6
192707,75.2,1927,7
192708,72.3,1927,8
192709,64.9,1927,9
192710,59.9,1927,10
192711,51.1,1927,11
192712,41.2,1927,12
192801,43.5,1928,1
192802,45.9,1928,2
192803,51.7,1928,3
192804,53.7,1928,4
192805,64.3,1928,5
192806,68.3,1928,6
192807,74.6,1928,7
192808,73.4,1928,8
192809,68.9,1928,9
192810,58.1,1928,10
192811,48.8,1928,11
192812,40.9,1928,12
192901,39.8,1929,1
192902,41.8,1929,2
192903,48.3,1929,3
192904,50.1,1929,4
192905,61.9,1929,5
192906,67.5,1929,6
192907,74.6,1929,7
192908,75.6,1929,8
192909,67.1,1929,9
192910,61.4,1929,10
192911,50.8,1929,11
192912,47.9,1929,12
193001,39.9,1930,1
193002,48.8,1930,2
193003,50.2,1930,3
193004,56.2,1930,4
193005,56.6,1930,5
193006,69.0,1930,6
193007,74.7,1930,7
193008,73.3,1930,8
193009,65.0,1930,9
193010,58.1,1930,10
193011,50.0,1930,11
193012,41.5,1930,12
193101,43.5,1931,1
193102,47.0,1931,2
193103,51.3,1931,3
193104,57.4,1931,4
193105,65.5,1931,5
193106,67.8,1931,6
193107,79.5,1931,7
193108,75.9,1931,8
193109,66.4,1931,9
193110,58.9,1931,10
193111,46.0,1931,11
193112,40.2,1931,12
193201,38.9,1932,1
193202,42.8,1932,2
193203,50.7,1932,3
193204,52.8,1932,4
193205,60.4,1932,5
193206,68.9,1932,6
193207,73.6,1932,7
193208,73.3,1932,8
193209,70.9,1932,9
193210,59.1,1932,10
193211,53.4,1932,11
193212,38.4,1932,12
193301,38.3,1933,1
193302,39.8,1933,2
193303,48.8,1933,3
193304,52.8,1933,4
193305,55.4,1933,5
193306,67.0,1933,6
193307,77.2,1933,7
193308,75.0,1933,8
193309,66.8,1933,9
193310,64.1,1933,10
193311,51.7,1933,11
193312,43.8,1933,12
193401,45.3,1934,1
193402,48.5,1934,2
193403,57.2,1934,3
193404,59.8,1934,4
193405,64.5,1934,5
193406,66.2,1934,6
193407,75.1,1934,7
193408,75.2,1934,8
193409,69.4,1934,9
193410,60.2,1934,10
193411,50.7,1934,11
193412,44.4,1934,12
193501,41.7,1935,1
193502,45.9,1935,2
193503,44.5,1935,3
193504,53.6,1935,4
193505,59.9,1935,5
193506,70.6,1935,6
193507,73.2,1935,7
193508,74.7,1935,8
193509,70.2,1935,9
193510,57.6,1935,10
193511,46.5,1935,11
193512,43.7,1935,12
193601,44.6,1936,1
193602,44.5,1936,2
193603,51.0,1936,3
193604,56.4,1936,4
193605,63.2,1936,5
193606,69.5,1936,6
193607,76.5,1936,7
193608,75.4,1936,8
193609,69.0,1936,9
193610,60.5,1936,10
193611,50.6,1936,11
193612,42.2,1936,12
193701,32.0,1937,1
193702,42.1,1937,2
193703,48.1,1937,3
193704,52.5,1937,4
193705,62.7,1937,5
193706,68.6,1937,6
193707,76.2,1937,7
193708,75.1,1937,8
193709,69.9,1937,9
193710,61.0,1937,10
193711,51.2,1937,11
193712,46.5,1937,12
193801,44.5,1938,1
193802,43.5,1938,2
193803,45.4,1938,3
193804,53.6,1938,4
193805,61.1,1938,5
193806,69.4,1938,6
193807,75.3,1938,7
193808,73.7,1938,8
193809,70.4,1938,9
193810,57.9,1938,10
193811,46.6,1938,11
193812,45.6,1938,12
193901,42.8,1939,1
193902,40.4,1939,2
193903,49.2,1939,3
193904,58.3,1939,4
193905,62.3,1939,5
193906,68.4,1939,6
193907,75.5,1939,7
193908,75.6,1939,8
193909,69.1,1939,9
193910,59.1,1939,10
193911,51.8,1939,11
193912,47.3,1939,12
194001,45.4,1940,1
194002,46.5,1940,2
194003,51.7,1940,3
194004,55.7,1940,4
194005,64.6,1940,5
194006,72.5,1940,6
194007,73.7,1940,7
194008,74.7,1940,8
194009,66.6,1940,9
194010,60.3,1940,10
194011,48.2,1940,11
194012,46.1,1940,12
194101,44.6,1941,1
194102,47.6,1941,2
194103,50.3,1941,3
194104,51.3,1941,4
194105,62.2,1941,5
194106,66.0,1941,6
194107,75.2,1941,7
194108,71.2,1941,8
194109,64.8,1941,9
194110,56.4,1941,10
194111,51.2,1941,11
194112,43.9,1941,12
194201,43.0,1942,1
194202,42.8,1942,2
194203,47.6,1942,3
194204,52.5,1942,4
194205,57.9,1942,5
194206,67.5,1942,6
194207,76.3,1942,7
194208,74.2,1942,8
194209,67.5,1942,9
194210,60.5,1942,10
194211,50.2,1942,11
194212,44.6,1942,12
194301,43.2,1943,1
194302,46.9,1943,2
194303,50.4,1943,3
194304,55.7,1943,4
194305,62.2,1943,5
194306,64.4,1943,6
194307,74.3,1943,7
194308,71.8,1943,8
194309,71.3,1943,9
194310,59.4,1943,10
194311,50.6,1943,11
194312,43.8,1943,12
194401,41.9,1944,1
194402,42.3,1944,2
194403,48.0,1944,3
194404,50.9,1944,4
194405,60.5,1944,5
194406,63.7,1944,6
194407,72.4,1944,7
194408,73.0,1944,8
194409,69.7,1944,9
194410,61.0,1944,10
194411,46.8,1944,11
194412,44.5,1944,12
194501,42.4,1945,1
194502,45.4,1945,2
194503,44.6,1945,3
194504,53.8,1945,4
194505,59.5,1945,5
194506,67.6,1945,6
194507,76.6,1945,7
194508,73.3,1945,8
194509,69.8,1945,9
194510,61.0,1945,10
194511,48.3,1945,11
194512,42.8,1945,12
194601,42.1,1946,1
194602,42.4,1946,2
194603,48.0,1946,3
194604,56.3,1946,4
194605,61.0,1946,5
194606,67.5,1946,6
194607,74.6,1946,7
194608,74.4,1946,8
194609,68.6,1946,9
194610,55.3,1946,10
194611,46.2,1946,11
194612,44.2,1946,12
194701,40.2,1947,1
194702,48.0,1947,2
194703,51.3,1947,3
194704,56.2,1947,4
194705,65.0,1947,5
194706,67.5,1947,6
194707,72.7,1947,7
194708,71.5,1947,8
194709,70.8,1947,9
194710,59.4,1947,10
194711,46.0,1947,11
194712,42.0,1947,12
194801,45.4,1948,1
194802,42.4,1948,2
194803,44.5,1948,3
194804,51.5,1948,4
194805,58.2,1948,5
194806,67.2,1948,6
194807,72.7,1948,7
194808,71.9,1948,8
194809,68.3,1948,9
194810,59.3,1948,10
194811,47.8,1948,11
194812,38.6,1948,12
194901,32.2,1949,1
194902,39.6,1949,2
194903,46.3,1949,3
194904,57.3,1949,4
194905,60.5,1949,5
194906,69.7,1949,6
194907,74.0,1949,7
194908,71.5,1949,8
194909,70.2,1949,9
194910,57.4,1949,10
194911,54.7,1949,11
194912,41.2,1949,12
195001,37.6,1950,1
195002,46.2,1950,2
195003,48.4,1950,3
195004,56.3,1950,4
195005,60.9,1950,5
195006,67.0,1950,6
195007,75.8,1950,7
195008,74.4,1950,8
195009,67.7,1950,9
195010,61.4,1950,10
195011,53.6,1950,11
195012,48.2,1950,12
195101,42.2,1951,1
195102,44.5,1951,2
195103,48.1,1951,3
