Date,Value,year,month
198605,76.1,1986,5
198606,85.8,1986,6
198607,87.4,1986,7
198608,91.1,1986,8
198609,75.8,1986,9
198610,72.2,1986,10
198611,64.1,1986,11
198612,54.1,1986,12
198701,51.5,1987,1
198702,56.9,1987,2
198703,59.4,1987,3
198704,74.1,1987,4
198705,76.7,1987,5
198706,85.8,1987,6
198707,85.2,1987,7
198708,89.5,1987,8
198709,84.8,1987,9
198710,77.0,1987,10
198711,59.2,1987,11
198712,49.1,1987,12
198801,52.2,1988,1
198802,61.8,1988,2
198803,65.2,1988,3
198804,67.5,1988,4
198805,73.9,1988,5
198806,82.2,1988,6
198807,92.7,1988,7
198808,89.4,1988,8
198809,84.7,1988,9
198810,79.1,1988,10
198811,59.5,1988,11
198812,52.7,1988,12
198901,51.8,1989,1
198902,53.2,1989,2
198903,62.5,1989,3
198904,73.5,1989,4
198905,74.7,1989,5
198906,83.7,1989,6
198907,90.8,1989,7
198908,86.6,1989,8
198909,82.4,1989,9
198910,71.7,1989,10
198911,65.0,1989,11
198912,57.4,1989,12
199001,53.6,1990,1
199002,53.8,1990,2
199003,63.5,1990,3
199004,71.0,1990,4
199005,73.0,1990,5
199006,84.0,1990,6
199007,90.8,1990,7
199008,87.7,1990,8
199009,84.1,1990,9
199010,76.5,1990,10
199011,62.4,1990,11
199012,50.0,1990,12
199101,54.6,1991,1
199102,64.2,1991,2
199103,54.1,1991,3
199104,65.0,1991,4
199105,70.8,1991,5
199106,80.1,1991,6
199107,90.1,1991,7
199108,87.4,1991,8
199109,87.0,1991,9
199110,78.4,1991,10
199111,63.3,1991,11
199112,54.0,1991,12
199201,53.1,1992,1
199202,58.3,1992,2
199203,60.7,1992,3
199204,72.0,1992,4
199205,80.9,1992,5
199206,82.5,1992,6
199207,87.7,1992,7
199208,91.2,1992,8
199209,85.7,1992,9
199210,75.6,1992,10
199211,60.8,1992,11
199212,49.3,1992,12
199301,49.6,1993,1
199302,52.6,1993,2
199303,63.5,1993,3
199304,67.3,1993,4
199305,75.0,1993,5
199306,81.9,1993,6
199307,86.5,1993,7
199308,87.8,1993,8
199309,84.9,1993,9
199310,74.1,1993,10
199311,60.9,1993,11
199312,53.4,1993,12
199401,56.9,1994,1
199402,53.7,1994,2
199403,65.2,1994,3
199404,68.3,1994,4
199405,73.9,1994,5
199406,86.1,1994,6
199407,91.5,1994,7
199408,91.3,1994,8
199409,84.3,1994,9
199410,71.8,1994,10
199411,52.9,1994,11
199412,51.1,1994,12
199501,51.1,1995,1
199502,62.0,1995,2
199503,58.5,1995,3
199504,64.6,1995,4
199505,69.8,1995,5
199506,79.7,1995,6
199507,88.8,1995,7
199508,90.3,1995,8
199509,85.9,1995,9
199510,76.9,1995,10
199511,68.6,1995,11
199512,55.6,1995,12
199601,55.2,1996,1
199602,58.0,1996,2
199603,63.5,1996,3
199604,69.8,1996,4
199605,75.8,1996,5
199606,85.4,1996,6
199607,93.0,1996,7
199608,92.2,1996,8
199609,82.8,1996,9
199610,72.3,1996,10
199611,61.5,1996,11
199612,53.9,1996,12
199701,52.9,1997,1
199702,57.7,1997,2
199703,67.7,1997,3
199704,68.1,1997,4
199705,81.8,1997,5
199706,81.8,1997,6
199707,88.8,1997,7
199708,89.3,1997,8
199709,84.3,1997,9
199710,72.1,1997,10
199711,61.4,1997,11
199712,51.7,1997,12
199801,53.4,1998,1
199802,51.0,1998,2
199803,59.9,1998,3
199804,63.1,1998,4
199805,65.4,1998,5
199806,78.0,1998,6
199807,90.7,1998,7
199808,92.7,1998,8
199809,82.3,1998,9
199810,70.8,1998,10
199811,58.9,1998,11
